model,n_seeds,final_val_char_mean,final_val_char_sd,final_val_sector_mean,final_val_sector_sd
gawf,10,88.79558064043522,0.390797359249718,93.45515720546246,0.1917484747448731
rnn,10,82.54281230270863,0.7473342275624171,91.93616650998592,0.2955763513594992
lstm,10,80.93045972287655,0.645753868847406,91.41263738274574,0.2769147030373902
gru,10,67.90701780468225,16.044895432096155,85.69111466407776,5.680939386794962
mamba,10,83.04746396839619,0.6682153815417119,92.88931749761105,0.45371155056652845
s5,10,77.53869242966175,0.7653034974231473,90.40477253496647,0.30375446615744744
